Code;Class;Name;Input;Output
ST 1.51;E;Voorburg 't Loo;E.ri.Voorburg'tLoo;E.ri.LaanvanNOI # E.ri.LeidschendamVoorburg
ST 1.52;E;Leidschendam-Voorburg;E.ri.LeidschendamVoorburg;E.ri.Voorburg'tLoo # E.ri.Forepark
ST 1.53;E;Forepark;E.ri.Forepark;E.ri.LeidschendamVoorburg # E.ri.Leidschenveen
ST 1.54;E;Leidschenveen;E.ri.Leidschenveen;E.ri.Forepark # E.ri.Nootdorp
ST 1.55;E;Nootdorp;E.ri.Nootdorp;E.ri.Leidschenveen # E.ri.PijnackerCentrum
ST 1.56;E;Pijnacker Centrum;E.ri.PijnackerCentrum;E.ri.Nootdorp # E.ri.PijnackerZuid
ST 1.57;E;Pijnacker Zuid;E.ri.PijnackerZuid;E.ri.PijnackerCentrum # E.ri.BerkelWestpolder
ST 1.58;E;Berkel Westpolder;E.ri.BerkelWestpolder;E.ri.PijnackerZuid # E.ri.Rodenrijs
ST 1.59;E;Rodenrijs;E.ri.Rodenrijs;E.ri.BerkelWestpolder # E.ri.MeijerspleinAirport
ST 1.60;E;Meijersplein / Airport;E.ri.MeijerspleinAirport;E.ri.Rodenrijs # E.ri.Melanchthonweg
ST 1.61;E;Melanchthonweg;E.ri.Melanchthonweg;E.ri.MeijerspleinAirport # E.ri.RotterdamHofplein
ST 1.62;E;Rotterdam Hofplein;E.ri.RotterdamHofplein;E.ri.Melanchthonweg
